序号,代码,买入日,卖出日,预期分红%,预期收益%,实际买价,实际卖价,实际分红,实际收益%,状态
1,601988,2025-11-26,2025-11-29,1.048%,1.248%,,,,,待执行
2,510300,2025-11-28,2025-12-01,0.343%,0.543%,,,,,待执行
3,601398,2025-12-03,2025-12-06,0.483%,0.683%,,,,,待执行
4,601288,2025-12-08,2025-12-11,0.821%,1.021%,,,,,待执行
5,000858,2025-12-05,2025-12-08,2.083%,2.283%,,,,,待执行
6,600000,2025-12-01,2025-12-04,4.941%,5.141%,,,,,待执行
7,510880,2025-12-03,2025-12-06,1.000%,1.200%,,,,,待执行
8,510500,2025-11-30,2025-12-03,0.234%,0.434%,,,,,待执行
9,00700.HK,2025-12-13,2025-12-16,1.385%,1.585%,,,,,待执行
10,00939.HK,2025-12-08,2025-12-11,5.176%,5.376%,,,,,待执行
11,01288.HK,2026-01-11,2026-01-14,1.579%,1.779%,,,,,待执行
