date,open,high,low,close,adjusted_close,volume
2020-01-01,6.9592,6.9632,6.9592,6.9632,6.9632,0
2020-01-02,6.9596,6.9739,6.9567,6.9644,6.9644,0
2020-01-03,6.961,6.9753,6.961,6.9655,6.9655,0
2020-01-06,6.9675,6.9786,6.9672,6.976,6.976,0
2020-01-07,6.9669,6.9702,6.928,6.9453,6.9453,0
2020-01-08,6.9528,6.9541,6.9358,6.9462,6.9462,0
2020-01-09,6.931,6.9353,6.9201,6.9318,6.9318,0
2020-01-10,6.9303,6.9383,6.9156,6.9193,6.9193,0
2020-01-13,6.9108,6.9143,6.8836,6.8938,6.8938,0
2020-01-14,6.8755,6.889,6.8649,6.8842,6.8842,0
2020-01-15,6.8928,6.8979,6.8827,6.8909,6.8909,0
2020-01-16,6.8829,6.8919,6.8742,6.8789,6.8789,0
2020-01-17,6.8748,6.8783,6.8516,6.8598,6.8598,0
2020-01-20,6.859,6.8669,6.8399,6.8669,6.8669,0
2020-01-21,6.8763,6.9087,6.8756,6.9059,6.9059,0
2020-01-22,6.9078,6.917,6.896,6.9067,6.9067,0
2020-01-23,6.9058,6.9367,6.9058,6.9367,6.9367,0
2020-01-24,6.9367,6.9367,6.9367,6.9367,6.9367,0
2020-01-27,6.9367,6.9367,6.9367,6.9367,6.9367,0
2020-01-28,6.9367,6.9367,6.9367,6.9367,6.9367,0
2020-01-29,6.9367,6.9367,6.9367,6.9367,6.9367,0
2020-01-30,6.9367,6.9367,6.9367,6.9367,6.9367,0
2020-01-31,6.9367,6.9367,6.9367,6.9367,6.9367,0
2020-02-03,6.9364,7.0249,6.9364,7.0215,7.0215,0
2020-02-04,7.0207,7.0207,6.9865,6.9985,6.9985,0
2020-02-05,6.996,7.007,6.965,6.9738,6.9738,0
2020-02-06,6.9736,6.9815,6.955,6.9708,6.9708,0
2020-02-07,6.9764,7.0015,6.9747,7.0015,7.0015,0
2020-02-10,6.9978,7.0014,6.9749,6.9844,6.9844,0
